distance	scattering length real	scattering length imag
1.412248122419796e3	-1.5516812641075571e1	-1.1005095639070778e-14
1.412248122419796e3	-1.5516812641075571e1	-1.1005095639070778e-14
1.412248122419796e3	-1.5516812641075571e1	-1.1005095639070778e-14
1.412248122419796e3	-1.5516812641075571e1	-1.1005095639070778e-14
1.412248122419796e3	-1.5516812641075571e1	-1.1005095639070778e-14
1.412248122419796e3	-1.5516812641075571e1	-1.1005095639070778e-14
1.5259270510562399e3	-1.5517556195735482e1	-1.467733507261159e-13
1.5259270510562399e3	-1.5517556195735482e1	-1.467733507261159e-13
1.5259270510562399e3	-1.5517556195735482e1	-1.467733507261159e-13
1.5259270510562399e3	-1.5517556195735482e1	-1.467733507261159e-13
1.5259270510562399e3	-1.5517556195735482e1	-1.467733507261159e-13
1.5259270510562399e3	-1.5517556195735482e1	-1.467733507261159e-13
1.5259270510562399e3	-1.5517556195735482e1	-1.467733507261159e-13
1.5259270510562399e3	-1.5517556195735482e1	-1.467733507261159e-13
1.5259270510562399e3	-1.5517556195735482e1	-1.467733507261159e-13
1.5259270510562399e3	-1.5517556195735482e1	-1.467733507261159e-13
1.5259270510562399e3	-1.5517556195735482e1	-1.467733507261159e-13
1.6396059796926838e3	-1.5518099293426163e1	-5.244837068720056e-13
1.6396059796926838e3	-1.5518099293426163e1	-5.244837068720056e-13
1.6396059796926838e3	-1.5518099293426163e1	-5.244837068720056e-13
1.6396059796926838e3	-1.5518099293426163e1	-5.244837068720056e-13
1.6396059796926838e3	-1.5518099293426163e1	-5.244837068720056e-13
1.6396059796926838e3	-1.5518099293426163e1	-5.244837068720056e-13
1.6396059796926838e3	-1.5518099293426163e1	-5.244837068720056e-13
1.6396059796926838e3	-1.5518099293426163e1	-5.244837068720056e-13
1.6396059796926838e3	-1.5518099293426163e1	-5.244837068720056e-13
1.6396059796926838e3	-1.5518099293426163e1	-5.244837068720056e-13
1.6396059796926838e3	-1.5518099293426163e1	-5.244837068720056e-13
1.6396059796926838e3	-1.5518099293426163e1	-5.244837068720056e-13
1.7532849083291278e3	-1.5518505186472774e1	-4.835528696245043e-13
1.7532849083291278e3	-1.5518505186472774e1	-4.835528696245043e-13
1.7532849083291278e3	-1.5518505186472774e1	-4.835528696245043e-13
1.7532849083291278e3	-1.5518505186472774e1	-4.835528696245043e-13
1.7532849083291278e3	-1.5518505186472774e1	-4.835528696245043e-13
1.7532849083291278e3	-1.5518505186472774e1	-4.835528696245043e-13
1.7532849083291278e3	-1.5518505186472774e1	-4.835528696245043e-13
1.7532849083291278e3	-1.5518505186472774e1	-4.835528696245043e-13
1.7532849083291278e3	-1.5518505186472774e1	-4.835528696245043e-13
1.7532849083291278e3	-1.5518505186472774e1	-4.835528696245043e-13
1.7532849083291278e3	-1.5518505186472774e1	-4.835528696245043e-13
1.8669638369655718e3	-1.5518814601776166e1	2.0011267621866602e-13
1.8669638369655718e3	-1.5518814601776166e1	2.0011267621866602e-13
1.8669638369655718e3	-1.5518814601776166e1	2.0011267621866602e-13
1.8669638369655718e3	-1.5518814601776166e1	2.0011267621866602e-13
1.8669638369655718e3	-1.5518814601776166e1	2.0011267621866602e-13
1.8669638369655718e3	-1.5518814601776166e1	2.0011267621866602e-13
1.8669638369655718e3	-1.5518814601776166e1	2.0011267621866602e-13
1.8669638369655718e3	-1.5518814601776166e1	2.0011267621866602e-13
1.8669638369655718e3	-1.5518814601776166e1	2.0011267621866602e-13
1.8669638369655718e3	-1.5518814601776166e1	2.0011267621866602e-13
1.8669638369655718e3	-1.5518814601776166e1	2.0011267621866602e-13
1.8669638369655718e3	-1.5518814601776166e1	2.0011267621866602e-13
1.9806427656020157e3	-1.551905457505136e1	4.0385439722825833e-13
