energy	bound difference	node count
-1.870374074814963e2	1.28447334893455e0	2e0
-1.8699739947989596e2	1.2848400233538066e0	2e0
-1.8695739147829565e2	1.2852238864335828e0	2e0
-1.8691738347669533e2	1.2976717322917095e0	2e0
-1.86877375475095e2	1.2980632118228614e0	2e0
-1.8683736747349468e2	1.2984719481623739e0	2e0
-1.8679735947189437e2	1.3109555346540747e0	2e0
-1.8675735147029405e2	1.3113720153356019e0	2e0
-1.867173434686937e2	1.311805830281606e0	2e0
-1.8667733546709343e2	1.3077719153708054e0	2e0
-1.866373274654931e2	1.3414454528062674e0	2e0
-1.8659731946389277e2	1.3419485638815145e0	2e0
-1.8655731146229246e2	1.3545489230017052e0	2e0
-1.8651730346069212e2	1.3550604063794158e0	2e0
-1.864772954590918e2	1.3555895474634494e0	2e0
-1.864372874574915e2	1.3682272959192903e0	2e0
-1.8639727945589118e2	1.368764952501297e0	2e0
-1.8635727145429084e2	1.3693203385900556e0	2e0
-1.8631726345269053e2	1.3819958642228622e0	2e0
-1.862772554510902e2	1.399733324082444e0	2e0
-1.8623724744948987e2	1.4003617742894714e0	2e0
-1.861972394478896e2	1.4010082139066433e0	2e0
-1.8615723144628925e2	1.4137598993127816e0	2e0
-1.8611722344468893e2	1.4144156312996932e0	2e0
-1.8607721544308862e2	1.4150894345357e0	2e0
-1.8603720744148828e2	1.427880336575754e0	2e0
-1.8599719943988796e2	1.4285635884953098e0	2e0
-1.8595719143828765e2	1.4292649905011667e0	2e0
-1.8591718343668734e2	1.4714024282231017e0	2e0
-1.85877175435087e2	1.4605598294878455e0	2e0
-1.8583716743348668e2	1.4613386530430887e0	2e0
-1.8579715943188637e2	1.486144716296543e0	2e0
-1.8575715143028603e2	1.4750480228223157e0	2e0
-1.8571714342868574e2	1.4758555727472844e0	2e0
-1.856771354270854e2	1.47668164532907e0	2e0
-1.856371274254851e2	1.5019644446981189e0	2e0
-1.8559711942388478e2	1.4904714682731663e0	2e0
-1.8555711142228446e2	1.4913266199556168e0	2e0
-1.8551710342068412e2	1.5355141500099327e0	2e0
-1.854770954190838e2	1.5235648694356425e0	2e0
-1.854370874174835e2	1.524502176607993e0	2e0
-1.8539707941588316e2	1.550761789824278e0	2e0
-1.8535707141428287e2	1.5518731024849142e0	2e0
-1.8531706341268253e2	1.5395083381406625e0	2e0
-1.8527705541108222e2	1.5661170829098194e0	2e0
-1.852370474094819e2	1.5672603506846683e0	2e0
-1.8519703940788156e2	1.554618758995881e0	2e0
-1.8515703140628125e2	1.574574299707276e0	2e0
-1.8511702340468094e2	1.6020286784664917e0	2e0
-1.8507701540308062e2	1.6032822546704404e0	2e0
-1.8503700740148028e2	1.5899892431315015e0	2e0
