mass scale factor	scattering length real	scattering length imag
9.133133133133133e-1	5.0436504865455035e1	-6.422695991498278e-14
9.137137137137137e-1	5.015334207363119e1	-4.488947820138638e-13
9.141141141141141e-1	4.987221736366522e1	8.164371974027699e-13
9.145145145145145e-1	4.9593079806911646e1	5.657744114853584e-13
9.14914914914915e-1	4.931588397159054e1	9.5155231559798e-13
9.153153153153153e-1	4.9040581316130336e1	-1.1059300131102478e-12
9.157157157157158e-1	4.876712631523291e1	1.5887420851122272e-13
9.161161161161161e-1	4.849547531999618e1	-1.794967535137481e-13
9.165165165165166e-1	4.822558306848084e1	-9.103068685774834e-13
9.169169169169169e-1	4.7957408168298905e1	3.5657869156179707e-13
9.173173173173174e-1	4.769090593860848e1	-5.324671164009882e-13
9.177177177177177e-1	4.742603716569029e1	-7.777449869494579e-13
9.181181181181182e-1	4.716276263772856e1	-8.879631554611737e-13
9.185185185185185e-1	4.6901040675954896e1	-6.928954242476084e-13
9.18918918918919e-1	4.66408324772461e1	-5.4484602168194696e-14
9.193193193193193e-1	4.638210161899738e1	-6.732719764435811e-13
9.197197197197198e-1	4.612480953867471e1	5.704922750430486e-13
9.201201201201201e-1	4.586892035396667e1	2.1274802705023455e-13
9.205205205205206e-1	4.561439724705158e1	8.303139907629423e-14
9.209209209209209e-1	4.536120592990699e1	9.63042030493543e-13
9.213213213213214e-1	4.510931127521215e1	-1.1152407236259266e-12
9.217217217217217e-1	4.485867840925261e1	9.39935209002751e-13
9.221221221221221e-1	4.460927684339808e1	-6.339416966639694e-14
9.225225225225225e-1	4.436106947158827e1	4.181267071102165e-13
9.22922922922923e-1	4.411402828229364e1	-8.708509109553641e-13
9.233233233233233e-1	4.386811807795164e1	3.3681614781856396e-14
9.237237237237237e-1	4.362330925260676e1	7.446869883390777e-13
9.241241241241241e-1	4.337957151640715e1	6.32553681291098e-14
9.245245245245245e-1	4.3136873571584786e1	1.1117428547434849e-12
9.24924924924925e-1	4.289518664327033e1	2.487331736539019e-13
9.253253253253253e-1	4.265447987836149e1	8.069290515839415e-13
9.257257257257258e-1	4.241472678976228e1	4.689611258130851e-13
9.261261261261261e-1	4.2175896105841794e1	-3.7785285610902673e-13
9.265265265265266e-1	4.193796090657175e1	-4.725415540725178e-14
9.269269269269269e-1	4.1700894944027624e1	4.843793471897386e-13
9.273273273273274e-1	4.1464668647384094e1	6.333860114427919e-14
9.277277277277277e-1	4.1229257628121005e1	8.512268900177733e-13
9.281281281281282e-1	4.099463334070159e1	3.8294591014215984e-13
9.285285285285285e-1	4.076076944020363e1	5.1528523358378585e-14
9.28928928928929e-1	4.052764108498409e1	1.6335637221562443e-13
9.293293293293293e-1	4.029522253582373e1	5.957629141401716e-13
9.297297297297298e-1	4.0063489678220876e1	-4.1203381906807634e-14
9.301301301301301e-1	3.983241425429721e1	1.2847571733431393e-12
9.305305305305306e-1	3.960197458994093e1	3.572300852419117e-13
9.309309309309309e-1	3.937214461710281e1	-5.53032828208936e-13
9.313313313313314e-1	3.914290273719074e1	4.889864623794187e-13
9.317317317317317e-1	3.891422093956001e1	9.882841169242618e-13
9.321321321321321e-1	3.868607812105042e1	6.982645357945722e-13
9.325325325325325e-1	3.845845107346164e1	-2.1958936893846974e-13
9.32932932932933e-1	3.823131601173007e1	3.88441261248429e-13
9.333333333333333e-1	3.800464964670016e1	-1.2242213443507425e-12
9.337337337337337e-1	3.777842881183296e1	-3.093096758877145e-13
9.341341341341342e-1	3.7552633088812755e1	-5.813572725458665e-13
9.345345345345346e-1	3.732723682739386e1	-4.551936562792198e-15
9.34934934934935e-1	3.710222080108258e1	-5.753203399167574e-13
9.353353353353353e-1	3.687756021617176e1	2.960146218259888e-13
9.357357357357358e-1	3.6653234954694696e1	8.461326998545276e-14
9.361361361361361e-1	3.642922223320258e1	-4.408299774437772e-13
9.365365365365366e-1	3.620550200621491e1	-3.116549113740928e-13
9.369369369369369e-1	3.598204997264509e1	-4.968131791292952e-13
9.373373373373374e-1	3.5758846141968114e1	-8.485750162034031e-13
9.377377377377377e-1	3.553587112803645e1	9.556425775295393e-13
9.381381381381382e-1	3.531309997938345e1	1.1851682629792425e-13
9.385385385385385e-1	3.509051447591603e1	-1.039173241419224e-12
9.38938938938939e-1	3.486809210134547e1	-5.534207843735945e-13
9.393393393393393e-1	3.464581338278421e1	2.817896694248304e-13
9.397397397397398e-1	3.442365464945321e1	5.667712139624253e-13
9.401401401401401e-1	3.420159808622881e1	-1.3548246057122332e-12
9.405405405405406e-1	3.397962155124166e1	-9.94167121983477e-13
9.409409409409409e-1	3.375770484226852e1	2.707983592116659e-13
9.413413413413414e-1	3.3535826871222866e1	-1.0036594650100275e-12
9.417417417417417e-1	3.3313966007634505e1	8.059556765608094e-13
9.421421421421421e-1	3.3092103396509785e1	6.238506019505127e-13
9.425425425425425e-1	3.287021834963834e1	2.679117137719408e-13
9.42942942942943e-1	3.264828892232842e1	7.497364261188618e-13
9.433433433433434e-1	3.242629492833411e1	1.1523949568215466e-12
9.437437437437437e-1	3.220421650658472e1	2.4462466093495165e-13
9.441441441441442e-1	3.1982031864041172e1	-6.107150743847452e-13
9.445445445445446e-1	3.175972235856967e1	-5.994878744244126e-13
9.44944944944945e-1	3.153726499871432e1	5.102047838911317e-13
9.453453453453453e-1	3.1314641945270203e1	4.628605222078514e-13
9.457457457457458e-1	3.1091828362476797e1	-8.137268698001601e-13
9.461461461461461e-1	3.0868806883392356e1	6.537917264629686e-13
9.465465465465466e-1	3.0645555454915797e1	3.227845395058524e-13
9.469469469469469e-1	3.042205333393973e1	4.4790013033589077e-13
9.473473473473474e-1	3.019827991663417e1	7.286278469269992e-13
9.477477477477477e-1	2.9974213639688056e1	4.48711941817802e-13
9.481481481481482e-1	2.9749832485813744e1	3.814668892875388e-13
9.485485485485485e-1	2.9525117189541085e1	8.990683239400016e-13
9.48948948948949e-1	2.9300045003695402e1	-5.789414374856899e-13
9.493493493493493e-1	2.9074593859008946e1	-6.636169875757953e-13
9.497497497497498e-1	2.884874435640381e1	-9.09927602456561e-13
9.501501501501501e-1	2.8622472330417025e1	-5.710379358361359e-13
9.505505505505506e-1	2.839575896651533e1	-3.15567921315467e-13
9.50950950950951e-1	2.8168578066942715e1	1.2948012555082482e-12
9.513513513513514e-1	2.7940910648687943e1	9.52039704169519e-13
9.517517517517518e-1	2.771273337942812e1	-2.9121229525350193e-13
9.521521521521521e-1	2.7484024114057107e1	5.521986618701964e-13
9.525525525525526e-1	2.7254759151990974e1	-4.596751817107038e-13
9.52952952952953e-1	2.7024917442520845e1	6.90685418803422e-13
9.533533533533534e-1	2.6794474005289832e1	2.1563361881183436e-13
9.537537537537537e-1	2.6563407034153183e1	3.0926727951496385e-14
9.541541541541542e-1	2.6331691474723502e1	4.674744386775999e-14
9.545545545545546e-1	2.6099303981367477e1	2.481909605586754e-13
9.54954954954955e-1	2.58662223256883e1	-7.66118167276723e-13
9.553553553553553e-1	2.5632420309964843e1	2.4907218124581034e-13
9.557557557557558e-1	2.5397874562842688e1	-5.153320214953704e-13
9.561561561561562e-1	2.5162559700774302e1	3.891409898891676e-13
9.565565565565566e-1	2.4926450867009024e1	-3.2240254391982555e-13
9.569569569569569e-1	2.4689523098890362e1	1.0581697505626789e-12
9.573573573573574e-1	2.445175061378697e1	7.329708095731427e-13
9.577577577577577e-1	2.4213106698516615e1	-4.660726042669741e-13
9.581581581581582e-1	2.397356588127953e1	-3.9851537525070223e-13
9.585585585585585e-1	2.3733101689111905e1	3.031539477721058e-13
9.58958958958959e-1	2.3491687034366223e1	7.797528064975204e-13
9.593593593593593e-1	2.3249294080833955e1	6.043788308849375e-13
9.597597597597598e-1	2.3005895008540403e1	2.53963999248919e-13
9.601601601601601e-1	2.276146230584267e1	4.348682286968497e-13
9.605605605605606e-1	2.251596771789997e1	1.1807625005744444e-12
9.60960960960961e-1	2.226938215745444e1	2.844257679422973e-13
9.613613613613614e-1	2.202167627663158e1	-1.0986543342318783e-12
9.617617617617618e-1	2.177282109453163e1	8.209488761776027e-13
9.621621621621621e-1	2.1522784114691476e1	9.31208052669359e-13
9.625625625625626e-1	2.1271535779155982e1	8.834267160451818e-14
9.62962962962963e-1	2.1019045972762466e1	7.349306474694079e-13
9.633633633633634e-1	2.0765281573387295e1	-5.0566920920967e-13
9.637637637637637e-1	2.051021202225758e1	8.205983064798996e-13
9.641641641641642e-1	2.0253802476316668e1	5.341880677363426e-13
9.645645645645646e-1	1.999602143817094e1	-1.6696390588723625e-13
9.64964964964965e-1	1.9736833386610947e1	-9.393297963393171e-13
9.653653653653653e-1	1.9476204317070763e1	-7.074454882604513e-13
9.657657657657658e-1	1.9214101203340125e1	-3.2659682422153487e-13
9.661661661661662e-1	1.895048475623395e1	-6.75856081954797e-13
